H = 	0.97652343750001158	 Volume = 	0.32343299999999020	 Pressure = 	-0.00017448933159148	 Radial Contact Force = 	-0.00001964580636013
H = 	0.97650390625001160	 Volume = 	0.32343299999999303	 Pressure = 	-0.00017478131846764	 Radial Contact Force = 	-0.00001967183716203
H = 	0.97648437500001162	 Volume = 	0.32343299999999126	 Pressure = 	-0.00017507344758389	 Radial Contact Force = 	-0.00001969778851151
H = 	0.97646484375001164	 Volume = 	0.32343299999999214	 Pressure = 	-0.00017536572266486	 Radial Contact Force = 	-0.00001972369404005
H = 	0.97644531250001165	 Volume = 	0.32343299999999348	 Pressure = 	-0.00017565814285699	 Radial Contact Force = 	-0.00001974954266239
H = 	0.97642578125001167	 Volume = 	0.32343299999999248	 Pressure = 	-0.00017595070845079	 Radial Contact Force = 	-0.00001977533447013
H = 	0.97640625000001169	 Volume = 	0.32343299999999264	 Pressure = 	-0.00017624341297910	 Radial Contact Force = 	-0.00001980106547614
H = 	0.97638671875001171	 Volume = 	0.32343299999999392	 Pressure = 	-0.00017653624647080	 Radial Contact Force = 	-0.00001982672943102
H = 	0.97636718750001172	 Volume = 	0.32343299999999281	 Pressure = 	-0.00017682918824044	 Radial Contact Force = 	-0.00001985232384168
H = 	0.97634765625001174	 Volume = 	0.32343299999999453	 Pressure = 	-0.00017712239972458	 Radial Contact Force = 	-0.00001987791659491
H = 	0.97632812500001176	 Volume = 	0.32343299999999547	 Pressure = 	-0.00017741569534824	 Radial Contact Force = 	-0.00001990342492232
H = 	0.97630859375001178	 Volume = 	0.32343299999999631	 Pressure = 	-0.00017770917673609	 Radial Contact Force = 	-0.00001992889441794
H = 	0.97628906250001180	 Volume = 	0.32343299999999187	 Pressure = 	-0.00017800327116553	 Radial Contact Force = 	-0.00001995461045847
H = 	0.97626953125001181	 Volume = 	0.32343299999999225	 Pressure = 	-0.00017829837091501	 Radial Contact Force = 	-0.00001998077221386
H = 	0.97625000000001183	 Volume = 	0.32343299999998704	 Pressure = 	-0.00017859361735323	 Radial Contact Force = 	-0.00002000686615683
H = 	0.97623046875001185	 Volume = 	0.32343299999999281	 Pressure = 	-0.00017888900956547	 Radial Contact Force = 	-0.00002003292427613
H = 	0.97621093750001187	 Volume = 	0.32343299999999098	 Pressure = 	-0.00017918452909562	 Radial Contact Force = 	-0.00002005889159909
H = 	0.97619140625001188	 Volume = 	0.32343299999999520	 Pressure = 	-0.00017948023529271	 Radial Contact Force = 	-0.00002008484813103
H = 	0.97617187500001190	 Volume = 	0.32343299999999181	 Pressure = 	-0.00017977605535518	 Radial Contact Force = 	-0.00002011070538639
H = 	0.97615234375001192	 Volume = 	0.32343299999999447	 Pressure = 	-0.00018007196572492	 Radial Contact Force = 	-0.00002013650986787
H = 	0.97613281250001194	 Volume = 	0.32343299999999325	 Pressure = 	-0.00018036817214328	 Radial Contact Force = 	-0.00002016229207948
H = 	0.97611328125001195	 Volume = 	0.32343299999999559	 Pressure = 	-0.00018066443750970	 Radial Contact Force = 	-0.00002018799112223
H = 	0.97609375000001197	 Volume = 	0.32343299999999520	 Pressure = 	-0.00018096087063022	 Radial Contact Force = 	-0.00002021364555284
H = 	0.97607421875001199	 Volume = 	0.32343299999999436	 Pressure = 	-0.00018125744069696	 Radial Contact Force = 	-0.00002023923628310
H = 	0.97605468750001201	 Volume = 	0.32343299999999636	 Pressure = 	-0.00018155415573762	 Radial Contact Force = 	-0.00002026476818248
H = 	0.97603515625001203	 Volume = 	0.32343299999999575	 Pressure = 	-0.00018185171572758	 Radial Contact Force = 	-0.00002029067277592
H = 	0.97601562500001204	 Volume = 	0.32343299999999531	 Pressure = 	-0.00018215146970266	 Radial Contact Force = 	-0.00002031778155995
H = 	0.97599609375001206	 Volume = 	0.32343299999999792	 Pressure = 	-0.00018245137004202	 Radial Contact Force = 	-0.00002034483190316
H = 	0.97597656250001208	 Volume = 	0.32343299999999736	 Pressure = 	-0.00018275141682498	 Radial Contact Force = 	-0.00002037182376671
H = 	0.97595703125001210	 Volume = 	0.32343299999999664	 Pressure = 	-0.00018305161034942	 Radial Contact Force = 	-0.00002039875724414
H = 	0.97593750000001211	 Volume = 	0.32343299999999137	 Pressure = 	-0.00018335194284315	 Radial Contact Force = 	-0.00002042562064466
H = 	0.97591796875001213	 Volume = 	0.32343299999999819	 Pressure = 	-0.00018365243880763	 Radial Contact Force = 	-0.00002045244941419
